metroarea,carcount,modetowork,travelburden,transitgood,tripcount,tripmile,distancetowork,transituse,hhincome,hhsize,childage,houseown,urbansize,popdensity,gasprice,age,gender,education,workschoolretire,hhstate,Walk.Index_Den,Walk.Index_Pop,Transit.Score,poverty_pop,disability_pop,bachelor_pop,employ_workforce
38060,2,3,3,2,5,68.548,17.69,0,4,3,15,1,4,3000,265.9,31,1,4,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,3,4,22.4,4.29,0,1,1,0,1,4,7000,276.3,68,2,3,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,3,2,8.761,385.4,0,4,4,21,1,4,750,276.3,53,1,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,1,5,52.663,25.73,0,1,2,0,1,4,3000,275.3,55,2,3,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,9,48.374,11.58,0,4,3,0,1,4,3000,265.6,54,1,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,3,3,2,25.912,14.18,0,2,3,21,2,4,7000,267.7,21,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,2,3,2,2,0,0,31.96,0,3,2,0,1,4,1500,,31,1,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,4,7.668,39.79,0,3,2,0,1,4,7000,274,62,1,4,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,2,8.495,16.62,0,4,2,0,1,4,7000,263.7,65,1,4,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,2,12.31,10.63,0,4,4,5,1,6,300,273.8,41,2,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
